Attributes,Symbols,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,2022-04-20,2022-04-21
Adj Close,3988.HK,3.140000104904175,3.140000104904175,3.119999885559082,3.130000114440918,3.119999885559082,,,3.119999885559082,3.140000104904175,3.130000114440918
Adj Close,0939.HK,5.889999866485596,5.860000133514404,5.829999923706055,5.860000133514404,5.860000133514404,,,5.75,5.71999979019165,5.71999979019165
Adj Close,2628.HK,12.260000228881836,12.0,12.0,12.079999923706055,12.15999984741211,,,11.979999542236328,11.9399995803833,11.920000076293945
Adj Close,3968.HK,61.599998474121094,58.75,58.70000076293945,58.650001525878906,59.75,,,52.900001525878906,50.29999923706055,50.79999923706055
Adj Close,0941.HK,55.45000076293945,54.599998474121094,54.650001525878906,55.5,55.349998474121094,,,55.400001525878906,55.0,54.25
Adj Close,0688.HK,26.75,26.100000381469727,25.649999618530273,26.25,27.149999618530273,,,26.649999618530273,25.049999237060547,24.649999618530273
Adj Close,0386.HK,3.9800000190734863,3.9700000286102295,3.940000057220459,4.0,4.0,,,4.0,3.9600000381469727,3.9600000381469727
Adj Close,0883.HK,11.65999984741211,11.15999984741211,11.0600004196167,11.460000038146973,11.5600004196167,,,11.640000343322754,11.15999984741211,10.880000114440918
Adj Close,1398.HK,4.78000020980835,4.78000020980835,4.75,4.75,4.75,,,4.71999979019165,4.710000038146973,4.739999771118164
Adj Close,3690.HK,156.5,147.5,153.89999389648438,154.10000610351562,155.1999969482422,,,146.0,144.89999389648438,137.8000030517578
Adj Close,0857.HK,4.090000152587891,4.019999980926514,3.950000047683716,4.03000020980835,4.079999923706055,,,4.119999885559082,4.0,3.940000057220459
Adj Close,2318.HK,59.0,55.75,55.45000076293945,55.29999923706055,57.29999923706055,,,54.95000076293945,53.400001525878906,53.650001525878906
Adj Close,0700.HK,369.6000061035156,353.6000061035156,366.3999938964844,373.6000061035156,374.3999938964844,,,364.0,362.0,348.0
Adj Close,1810.HK,13.199999809265137,12.359999656677246,12.319999694824219,12.359999656677246,12.479999542236328,,,12.039999961853027,12.020000457763672,11.520000457763672
